recipient_id,recipient_name,recipient_ein,address_line1,address_line2,city,state,zip,country,grant_ids
617c427b-5786-4ea4-acce-ea2d5582003b,MASTER GARDENERS OF NORTHCENTRAL WISCO,,PO BOX 53,,Wausau,WI,544020053,US,"[""3c628b94-83f6-4596-a224-fde512744462""]"
6feda945-2e45-4cbf-b6a1-ede907ab55ea,HAGAR HOUSE,,915 N 5TH ST,,WAUSAU,WI,54403,US,"[""8a998d1e-ff56-45cc-987e-bfb92ec84ef5""]"
6fa58782-53bd-4ff4-b1c9-22f9def922e8,MARATHON COUNTY HISTORICAL SOCIETY,,410 MCINDOE ST,,WAUSAU,WI,54403,US,"[""1cdcb4e4-801c-4c73-be0d-944b99b39352""]"
264345a6-c4e0-4beb-8a2e-19506b661b30,WISCONSIN AUTOMOTIVE & TRUST EDUCATION,,617 FOREST ST,,WAUSAU,WI,54403,US,"[""51e42a7e-acd1-499e-805b-c1342a75e22e""]"
939a39ff-8806-4783-8095-304ae84aab82,ALL STARS UNDER THE STARS,,PO BOX 1474,,WAUSAU,WI,54402,US,"[""dd0befc7-3dee-4e02-91a9-7443d30d47e4""]"
5141f725-a04d-45be-9ff3-7bb50d0c6ed7,BOY SCOUTS OF AMERICAN SAMOSET COUNCIL,,3511 CAMP PHILLIPS RD,,Weston,WI,54476,US,"[""a79dd51f-340b-484e-8f77-2fa0ec02b411""]"
8161278d-0d1a-4f15-a2ba-8dc3a1e0f4b1,MARATHON COUNTY WOLFPACK LACROSSE CLUB,,800 W WAUSAU CIR,,Wausau,WI,54401,US,"[""9f098fbb-fbc8-4ae7-a8bb-74128b6003f8""]"
d8c26a23-e338-4a1b-a12c-3067bc628489,ELKS CLUB OF WAUSAU,,414 SCOTT ST,,WAUSAU,WI,54403,US,"[""d29349cb-dce4-4489-a45e-677f69ed0f9e""]"
cc5b7ac8-9b01-4b06-945b-d905731ac16b,IRONBULL INC,,PO BOX 957,,Wausau,WI,544020957,US,"[""446f9377-8b51-4d5c-8ffb-c8a1c4d7150e""]"
42582960-4efb-461f-b600-c124cce53f17,MARATHON COUNTY LITERACY COUNCIL INC,,515 N 3RD STREET,,Wausau,WI,54403,US,"[""d5d2bd12-183a-4799-8d39-7afc0dfc57cb""]"
b08f1403-207b-40d9-a8c7-2b2416c257e4,LEAP LAW ENFORCEMENT APPRECIATION,,PO BOX 1991,,Wausau,WI,54401,US,"[""78275d0d-546f-4573-8584-2c9e17f2bdc4""]"
ecba1491-db33-4fd7-8a65-d32254fcff11,SACRED HEART CLASSICAL SCHOOL,,124 E CENTER ST,,Shawano,WI,54166,US,"[""8c405e5a-20ea-4ae2-a56c-9a2eadc44036""]"
052cf245-832f-43f7-9488-f55c42107fb9,BRIDGE STREET MISSION CAPITAL,,115 W BRIDGE ST,,Wausau,WI,54401,US,"[""2e116883-03f6-44f9-8c45-de6843a9124a""]"
1d6478ed-427e-4632-b3ce-7c1c017a2f7d,THE NEIGHBORS PLACE,,360 GRAND AVENUE SUITE 200,,Wausau,WI,54403,US,"[""45489146-702e-4ad8-b229-cf28698b8852""]"
85fae462-3e70-4994-8ef3-056c86803454,OPPORTUNITY DEVELOPMENT CENTERS INC,,2406 EAST 21ST STREET,,Marshfield,WI,54449,US,"[""49402d8f-3b35-47eb-8911-4aac3036751c""]"
a01c5744-e6b9-4969-87b4-f1f890db85e5,MARY MOTHER OF GOOD SHEPARD CHURCH,,2221B GRAND AVE,,Wausau,WI,54403,US,"[""76153bb9-bd1e-494b-b23b-38eca417dbc0""]"
b7a13ba1-587b-48de-a5f4-95ef6f42102b,ST VINCENT DE PAUL,,131 W THOMAS ST,,WAUSAU,WI,54403,US,"[""a7edb352-c71f-46b3-a71b-cceeeb4fdc82""]"
88d03cc2-22c0-4f2b-99d7-cd97de96d133,PERFORMING ARTS FOUNDATION INC,,401 FOURTH ST,,WAUSAU,WI,544035420,US,"[""4a46f722-6222-4180-954f-a34a277f84e3""]"
7ac9e5d4-b836-4c4c-96b0-61dc6983aa86,BLESSINGS IN A BACKPACK,,PO BOX 475,,SCHOFIELD,WI,54476,US,"[""97bc910e-57f7-41b6-9efb-8b2e4f036568""]"
f5fc9437-d0da-475e-ad89-676e85fe0bf3,UNITED WAY OF MARATHON COUNTY,,137 RIVER DR,,WAUSAU,WI,54403,US,"[""94745c11-ffd5-4f26-a40b-0b80ec05ec6f""]"
0118374b-bd90-4ba9-9961-bf49f5dbfa8d,BIG BROTHERS BIG SISTERS OF NC WISCONS,,2600 STEWART AVE SUITE 262,,WAUSAU,WI,54401,US,"[""a3d92b4d-95ab-45cc-bc08-81cf278e55d7""]"
d7de10ef-7d1e-4075-8ff0-6756c8ae771e,RAPTOR EDUCATION GROUP INC,,PO BOX 481,,ANTIGO,WI,54409,US,"[""71735151-e42e-47a2-851c-587ae97efe9c""]"
65e8cca4-4256-48d5-854c-b227daf9f22f,NEWMAN CATHOLIC SCHOOLS,,619 STARK ST SUITE 2,,WAUSAU,WI,54403,US,"[""dc023af9-f205-4333-a7cc-fe643585193c""]"
5e3f4174-379e-4fd9-9ab0-46b8a4f6c3b7,BSA SAMOSET COUNSEL,,3511 CAMP PHILLIPS RD,,WESTON,WI,54476,US,"[""3bcb756d-7a28-49b2-b4da-63b8dbe3248e""]"
b0bb5494-03ef-4a21-b53a-e4e1d06f4aa4,WAUSAU MUSEUM OF CONTEMPORARY ART,,309 MCCLELLAN ST,,Wausau,WI,54403,US,"[""446c9170-2dce-4bab-bafc-b1acc3e7cd1b""]"
ccc22d37-ea34-4e56-bd17-3d59443af5a4,NATIONAL SKI PATROL SYSTEM,,133 S VAN GORDON ST STE 100,,LAKEWOOD,CO,80228,US,"[""2a6ed116-8df9-41e5-9196-ca4040477003""]"
9efe918d-5cd6-437c-b4ed-739be3a1544f,CATHOLIC CHARITIES,,3501 S LAKE DR PO BOX 070912,,ST FRANCIS,WI,53235,US,"[""87410a08-521e-43c1-807c-675f448c8351""]"
8316f9a9-8b79-44f5-8511-2e6d736330ec,MC UNITED SOCCER ORGANIZATION,,PO BOX 1071,,WAUSAU,WI,54402,US,"[""7cc2f38b-e095-4f06-a019-0fc344d8b96d""]"
9734f11b-72a5-4ec6-965a-3e01e047100b,CHILDREN'S IMAGINARIUM,,223809 LAKESHORE DR,,WAUSAU,WI,54401,US,"[""642d6ec6-cdb9-4528-9052-df251cb9be7e""]"
6d9cdaef-27d3-4f24-be51-b7a29fb3b999,BOYS & GIRLS CLUB OF THE WAUSAU AREA,,1710 2ND ST,,WAUSAU,WI,54403,US,"[""5a2d5d64-4a83-499d-8223-712aef0070a7""]"
18557eef-4dd8-4429-9284-023c5b345c57,GRAHN MONDE,,,,LAVAL,,,CA,"[""2d1d5d91-e336-4dbd-81e5-980784816980""]"
142ff26d-c81b-43c3-a85f-fb5879985950,HADICAD,,1627 BRICKELL AVE,,MIAMI,FL,33129,US,"[""52bf0aaf-dba6-4f3d-9d03-dce0f6fd7982""]"
1766f6e6-cedb-4b47-aab5-26bd7beecdc9,ARRUPE JESUIT HIGH SCHOOL,,4343 UTICA ST,,DENVER,CO,80212,US,"[""702ce218-e0c8-4d48-a601-3727dffbe970""]"
47f6a87a-ef60-42d2-881a-7dd869977bd8,CENTER FOR HEALTH & HOPE,,7185 SOUTH NIAGARA CIRCLE,,CENTENNIAL,CO,80112,US,"[""57417199-fc26-41a6-bb53-8507ed35ccfa"", ""2cdf6a16-e292-471f-b103-37cdc88fe180"", ""b75e38f6-0196-4869-b775-4dd6e50f45bf""]"
329568b2-e143-4aab-a4f9-591f58cf5b2b,COLORADO MESA UNIVERSITY FOUNDATION,,1450 NORTH 12TH STREET,,GRAND JUNCTION,CO,81501,US,"[""2c3230c1-9921-4839-bdad-11991f57f087"", ""04209667-0dc0-4e39-abda-3c615a5697a7""]"
c4f01335-17a1-4796-b857-e296320e877c,COMMUNITY FOOD BANK,,PO BOX 3614,,GRAND JUNCTION,CO,815023614,US,"[""20e4ccf0-dbdc-4944-915f-1c6400d1a15c""]"
8b737d23-5a92-4105-ac53-37423273965b,COMMUNITY OPTIONS INC,,PO BOX 31 936 N PARK AVE,,MONTROSE,CO,81402,US,"[""31ab7c3a-22e0-4383-aa53-8e1719bd094e""]"
1c699e97-e392-42ef-9577-4c4f76e35711,EDUCATION FOUNDATION FOR THE COLORADO NATIONAL GUARD,,PO BOX 440889,,AURORA,CO,800440889,US,"[""bcc1212c-4549-4e5c-a994-cb0a693b5bc2""]"
6a53c6a5-777a-4e86-82e4-73abf0693e8b,FOOD BANK OF THE ROCKIES,,698 LONG ACRE DRIVE,,GRAND JUNCTION,CO,81501,US,"[""8617d38c-e3a9-4056-aaef-e8a836a3c5f1""]"
9a693578-a882-4d63-a13f-b91f99ae2a9e,GRAND VALLEY CATHOLIC OUTREACH,,245 SOUTH FIRST STREET,,GRAND JUNCTION,CO,81501,US,"[""53d7ea2a-2f51-40d9-b132-38067c45bcab"", ""df968137-936a-440c-9b91-ee86f09d21ab"", ""b5945efb-3cb7-47e2-8733-4971d3871ce0""]"
096bcf42-4c5d-43ed-9fe1-fe6e9b9e499e,HOMEWARD BOUND OF THE GRAND VALLEY,,562 29 ROAD,,GRAND JUNCTION,CO,81504,US,"[""25d5f4e2-8cd6-4241-b64d-4bce1d130522"", ""dc8e7413-a3f3-4049-a1ce-e10d3a43d579""]"
4009eee1-3785-4fe6-be3d-6954dee7e2d5,HOPEWEST,,3090 N 12TH STREET B,,GRAND JUNCTION,CO,81506,US,"[""68bc7103-fbd3-4f3e-a0c6-28d36ef5a126""]"
3343711b-4239-4c16-856b-c9ba3e732c83,LA PUENTE HOME INC,,PO BOX 1235,,ALAMOSA,CO,81101,US,"[""dd51c368-3a93-4d17-9c3f-b1e9b76569ea"", ""16e4c41d-3f84-43d3-ab2f-dedc3c3f388d""]"
